filename,xp1m,xp2,xp3,xp4
331.html,2,وحشت بزرگ، آنها را اندوهگين نمى كند; و فرشتگان به استقبالشان مى آيند، (و مى گويند:) اين همان روزى است كه به شما وعده داده مى شد! (103),بسیار خوب است با توکل به‌خدا اقدام کنید صدقه فراموش نشود.,خوب است با توکل به‌خدا و رعایت شرایط اقدام کنید ان‌شاءالله سود خوبی خواهید برد.
333.html,2,اين بخاطر آن است كه (بدانيد) خداوند حق است; و اوست كه مردگان را زنده مى كند; و بر هر چيزى تواناست. (6),بسیار خوب است مشکلات شما تا حد زیادی با این کار حل خواهد شد. اقدام کنید.,با رعایت جوانب اقدام نمایید تا سود خوبی نصیبتان شود.
335.html,1,و بسوى سخنان پاكيزه هدايت مى شوند، و به راه خداوند شايسته ستايش، راهنمايى مى گردند. (24),خوب است با توکل به‌خدا اقدام کنید به اهدافتان خواهید رسید.,خوب است با مشورت با افراد خبره سود بهتری نصیبتان خواهد شد.
337.html,1,به كسانى كه جنگ بر آنان تحميل گرديده، اجازه جهاد داده شده است; چرا كه مورد ستم قرار گرفته اند; و خدا بر يارى آنها تواناست. (39),خوب است از مشکلات نهراسید. با توکل به‌خدا انجام دهید ان‌شاءالله به اهدافتان خواهید رسید.,خوب است ان‌شاءالله سود خوبی خواهید برد.
339.html,2,حكومت و فرمانروايى در آن روز از آن خداست; و ميان آنها داورى مى كند: كسانى كه ايمان آورده و كارهاى شايسته انجام داده اند، در باغهاى پرنعمت بهشتند; (56),بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به اهدافتان خواهید رسید.,خوب است ان‌شاءالله منفعت خوبی خواهید برد مواظب باشید مرتکب حرام نشوید که پشیمان خواهید شد.
341.html,-1,اى مردم! مثلى زده شده است، به آن گوش فرا دهيد: كسانى را كه غير از خدا مى خوانيد، هرگز نمى توانند مگسى بيافرينند، هر چند براى اين كار دست به دست هم دهند! و هرگاه مگس چيزى از آنها بربايد، نمى توانند آن را باز پس گيرند! هم اين طلب كنندگان ناتوانند، و هم آن مطلوبان (هم اين عابدان، و هم آن معبودان)! (73),بسیار بد است به مشکلات زیادی بر می‌خورید و به‌شدت پشیمان خواهید شد.,در صورت انجام ضرر هنگفتی خواهید کرد حتما ترک شود.
343.html,0,و از آسمان، آبى به اندازه معين نازل كرديم; و آن را در زمين (در جايگاه مخصوصى) ساكن نموديم; و ما بر از بين بردن آن كاملا قادريم! (18),میانه است فایده‌ای دارد ولی با زحمت بسیار زیاد در صورت تمایل به انجام صدقه بدهید و صبر داشته باشید.,ممکن است سرمایه‌ی شما مدتی معطل بماند اگر اشکالی ندارد انجام بده و الا ترک کن.
345.html,-1,هيچ امتى بر اجل و سر رسيد حتمى خود پيشى نمى گيرد، و از آن تاخير نيز نمى كند. (43),بد است اصلا صلاح نیست ترک کنید.,بد است ضرر خواهید کرد و به‌هیچ کدام از چیزهایی که فکر می‌کنید نمی‌رسید.
347.html,-1,و اگر به آنان رحم كنيد و گرفتاريها و مشكلاتشان را برطرف سازيم، (نه تنها بيدار نمى شوند، بلكه) در طغيانشان لجاجت مى ورزند و (در اين وادى) سرگردان مى مانند! (75),بسیار بد است دچار آدم‌های بدی خواهید شد و به سختی و عذاب دچار خواهید شد. حتما ترک شود.,به آدمهای کلاهبرداری برخورد خواهید کرد هر چند در ظاهر خیلی خوب به‌نظر می‌رسند حتما ترک شود.
349.html,-1,(به آنها گفته مى شود:) آيا آيات من بر شما خوانده نمى شد، پس آن را تكذيب مى كرديد؟! (105),بد است دچار مشکلات زیادی می‌شوید و در آخر هم به آنچه که می‌خواهید نمی‌رسید.,پس از زحمت فراوان آخر هم ضرر نصیب شما می‌شود ترک کنید.
35.html,0,(تا انديشه كنيد) درباره دنيا و آخرت! و از تو در باره يتيمان سؤال مى كنند، بگو: «اصلاح كار آنان بهتر است. و اگر زندگى خود را با زندگى آنان بياميزيد، (مانعى ندارد;) آنها برادر (دينى) شما هستند.» (و همچون يك برادر با آنها رفتار كنيد!) خداوند، مفسدان را از مصلحان، بازمى شناسد. و اگر خدا بخواهد، شما را به زحمت مى اندازد; (و دستور مى دهد در عين سرپرستى يتيمان، زندگى و اموال آنها را بكلى از اموال خود، جدا سازيد; ولى خداوند چنين نمى كند;) زيرا او توانا و حكيم است. (220),میانه است با رعایت شرایط و مقدمات خوب است و الا انجام ندهید.,با مطالعه و مشورت با افراد خبره و رعایت موازین شرعی اقدام کنید در غیر این صورت انجام ندهید.
351.html,-1,مسلما كسانى كه آن تهمت عظيم را عنوان كردند گروهى (متشكل و توطئه گر) از شما بودند; اما گمان نكنيد اين ماجرا براى شما بد است، بلكه خير شما در آن است; آنها هر كدام سهم خود را از اين گناهى كه مرتكب شدند دارند; و از آنان كسى كه بخش مهم آن را بر عهده داشت عذاب عظيمى براى اوست! (11),بد است مورد افتراء و تهمت قرار می‌گیرید حتما ترک شود.,بد است دچار ضرر و زیان خواهید شد ترک کنید.
353.html,0,و اگر كسى را در آن نيافتيد، وارد نشويد تا به شما اجازه داده شود; و اگر گفته شد: «بازگرديد! س ذللّه بازگرديد; اين براى شما پاكيزه تر است; و خداوند به آنچه انجام مى دهيد آگاه است! (28),میانه خوب است اگر همه‌ی شرایط مهیا است انجام دهید و الا ترک کنید.,اگر همه‌ی جوانب را سنجیده‌اید و مشکلی نیست انجام دهید و الا ترکش بهتر است.
355.html,2,مردانى كه نه تجارت و نه معامله اى آنان را از ياد خدا و برپاداشتن نماز و اداى زكات غافل نمى كند; آنها از روزى مى ترسند كه در آن، دلها و چشمها زير و رو مى شود. (37),بسیار خوب است خیر دنیا و آخرت در آن است حتما انجام دهید.,سود خوبی نصیبتان می‌شود اقدام کنید.
357.html,0,بگو: «خدا را اطاعت كنيد، و از پيامبرش فرمان بريد! و اگر سرپيچى نماييد، پيامبر مسؤول اعمال خويش است و شما مسؤول اعمال خود! اما اگر از او اطاعت كنيد، هدايت خواهيد شد; و بر پيامبر چيزى جز رساندن آشكار نيست!» (54),میانه خوب است انجام دهید هر چند ممکن است به همه‌ی اهداف خود نرسید.,خوب است هر چند ممکن است به همه‌ی اهداف خود نرسید.
359.html,1,مؤمنان واقعى كسانى هستند كه به خدا و رسولش ايمان آورده اند و هنگامى كه در كار مهمى با او باشند، بى اجازه او جايى نمى روند; كسانى كه از تو اجازه مى گيرند، براستى به خدا و پيامبرش ايمان آورده اند! در اين صورت، هر گاه براى بعضى كارهاى مهم خود از تو اجازه بخواهند، به هر يك از آنان كه مى خواهى (و صلاح مى بينى) اجازه ده، و برايشان از خدا آمرزش بخواه كه خداوند آمرزنده و مهربان است! (62),خوب است با مشورت افراد خبره و با توکل به‌خدا اقدام کنید.,با لحاظ شرایط خوب و الا ترکش بهتر است.
361.html,-1,هنگامى كه اين آتش آنان را از مكانى دور ببيند، صداى وحشتناك و خشم آلودش را كه با نفس زدن شديد همراه است مى شنوند. (12),بد است پشیمانی شدید دارد ترک شود.,بد است دچار ضرر و زیان خواهید شد و پشیمانی شدید دارد ترک شود.
363.html,1,آنان هيچ مثلى براى تو نمى آورند مگر اينكه ما حق را براى تو مى آوريم، و تفسيرى بهتر (و پاسخى دندان شكن كه در برابر آن ناتوان شوند)! (33),خوب است اما زحمت زیاد دارد با توکل به‌خدا انجام دهید.,سود خوبی نصیبتان می‌شود با توکل به‌خدا اقدام کنید و از مشکلات نهراسید.
365.html,2,(اى پيامبر!) ما تو را جز بعنوان بشارت دهنده و انذار كننده نفرستاديم! (56),بسیار خوب است با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان می‌رسید.,ان‌شاءالله آن چه که در نظر دارید می‌شود با توکل به‌خدا اقدام کنید.
367.html,2,(به خاطر بياور) هنگامى را كه پروردگارت موسى را ندا داد كه به سراغ قوم ستمگر برو... (10),بسیار خوب است از مشکلات نهراسید و با توکل به‌خدا انجام دهید ان‌شاءالله هر آنچه که در نظر دارید انجام می‌شود.,سود خوبی نصیبتان خواهد شد با توکل به‌خدا انجام دهید.
369.html,-1,تا اگر ساحران پيروز شوند، از آنان پيروى كنيم؟!» (40),بسیار بد است فریب و نیرنگ در کار است حتما ترک شود.,به افراد مکار و حیله گری بر خواهید خورد به‌شدت متضرر می‌شوید ترک کنید.
37.html,-1,و هنگامى كه زنان را طلاق داديد، و به آخرين روزهاى «عده » رسيدند، يا به طرز صحيحى آنها را نگاه داريد (و آشتى كنيد)، و يا به طرز پسنديده اى آنها را رها سازيد! و هيچ گاه به خاطر زيان رساندن و تعدى كردن، آنها را نگاه نداريد! و كسى كه چنين كند، به خويشتن ستم كرده است. (و با اين اعمال، و سوء استفاده از قوانين الهى،) آيات خدا را به استهزا نگيريد! و به ياد بياوريد نعمت خدا را بر خود، و كتاب آسمانى و علم و دانشى كه بر شما نازل كرده، و شما را با آن، پند مى دهد! و از خدا بپرهيزيد! و بدانيد خداوند از هر چيزى آگاه است (و از نيات كسانى كه از قوانين او، سوء استفاده مى كنند، با خبر است)! (231),بد است با انجام دچار مشقت و گرفتاری می‌شوید ترک کنید که پشیمانی دارد.,در این معامله منفعتی وجود ندارد ترک کنید که پشیمانی دارد.
371.html,1,و براى من در ميان امتهاى آينده، زبان صدق (و ذكر خيرى) قرار ده! (84),خوب است با زبان خوش و هدف خوب ان‌شاءالله به آنچه که می‌خواهید می‌رسید.,با زبان خوش اقدام کنید معامله‌ی خوبی خواهد بود ان‌شاءالله .
373.html,-1,اين همان روش (و افسانه هاى) پيشينيان است! (137),بد است حرف زده می‌شود ولی عمل نمی‌شود ترک کنید.,است به حرفهایشان عمل نمی‌کنند و دچار اختلاف خواهید شد ترک شود.
375.html,-1,و از (نافرمانى) كسى كه شما و اقوام پيشين را آفريد بپرهيزيد!» (184),بد است دچار چه‌کنم چه‌کنم خواهید شد ترک شود.,دچار افرادی خواهید شد که به‌هیچ وجه صراطی مستقیم نیستند ترک شود.
377.html,2,طس - اين آيات قرآن و كتاب مبين است، (1),بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,سود خوبی خواهید برد مستمندان را فراموش نکنید.
379.html,1,من زنى را ديدم كه بر آنان حكومت مى كند، و همه چيز در اختيار دارد، و (به خصوص) تخت عظيمى دارد! (23),خوب است از مشکلات هم هراسی به‌دل راه ندهید. با توکل به‌خدا موفق می‌شوید.,خوب است خیر دنیوی و اخروی دارد با توکل به‌خدا انجام دهید.
381.html,-1,ما به سوى «ثمود»، برادرشان «صالح » را فرستاديم كه: خداى يگانه را بپرستيد! اما آنان به دو گروه تقسيم شدند كه به مخاصمه پرداختند. (45),بد است دچار اختلاف و مجادله خواهید شد ترک شود.,دچار اختلاف و درگیری خواهید شد ترک شود.
383.html,-1,يا كسى كه آفرينش را آغاز كرد، سپس آن را تجديد مى كند، و كسى كه شما را از آسمان و زمين روزى مى دهد; آيا معبودى با خداست؟! بگو: «دليلتان را بياوريد اگر راست مى گوييد! س ذللّه (64),بد است به چه‌کنم چه‌کنم گرفتار خواهید شد ترک شود.,به مشکلات و شرایط سختی بر می‌خورید ترک شود.
385.html,1,كسانى كه كار نيكى انجام دهند پاداشى بهتر از آن خواهند داشت; و آنان از وحشت آن روز درامانند! (89),خوب است الان شرایط انجام این کار را دارا هستید با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,خوب است ان‌شاءالله به هدف مورد نظرتان دست می‌یابید همه‌ی جوانب را در نظر داشته باشید.
387.html,1,و هنگامى كه (موسى) نيرومند و كامل شد، حكمت و دانش به او داديم; و اين گونه نيكوكاران را جزا مى دهيم! (14),خوب است الان شرایط انجام این کار را دارا هستید با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,خوب است ان‌شاءالله به هدف مورد نظر تان دست می‌یابید همه‌ی جوانب را در نظر داشته باشید.
389.html,1,هنگامى كه موسى مدت خود را به پايان رسانيد و همراه خانواده اش (از مدين به سوى مصر) حركت كرد، از جانب طور آتشى ديد! به خانواده اش گفت: «درنگ كنيد كه من آتشى ديدم! (مى روم) شايد خبرى از آن براى شما بياورم، يا شعله اى از آتش تا با آن گرم شويد!» (29),خوب است از مشکلات نهراسید با توکل به‌خدا انجام دهید.,منفعت خوبی در این معامله است با توکل به‌خدا انجام دهید.
39.html,1,در انجام همه نمازها، (به خصوص) نماز وسطى ( نماز ظهر) كوشا باشيد! و از روى خضوع و اطاعت، براى خدا بپاخيزيد! (238),خوب است زحمت دارد ولی به زحمتش می‌ارزد.,با کمی سختی و زحمت مواجه می‌شوید ولی ان‌شاءالله سود خوبی خواهید برد.
391.html,1,تو در جانب غربى نبودى هنگامى كه ما فرمان نبوت را به موسى داديم; و تو از شاهدان نبودى (در آن هنگام كه معجزات را در اختيار موسى گذارديم)! (44),خوب است با توکل به‌خدا کار را انجام دهید از شما حرکت و از خدا برکت.,خوب است به‌سود خوبی خواهید رسید با توکل به‌خدا انجام دهید.
393.html,-1,آنچه به شما داده شده، متاع زندگى دنيا و زينت آن است; و آنچه نزد خداست بهتر و پايدارتر است; آيا انديشه نمى كنيد؟! (60),بد است فریب و نیرنگ در کار است انجام ندهید که پشیمان خواهید شد.,گول ظواهر امر را نخورید شما را فریب می‌دهند و ضرر هنگفتی را به‌شما تحمیل می کنند ترک شود.
395.html,-1,(قارون) گفت: «اين ثروت را بوسيله دانشى كه نزد من است به دست آورده ام!» آيا او نمى دانست كه خداوند اقوامى را پيش از او هلاك كرد كه نيرومندتر و ثروتمندتر از او بودند؟! (و هنگامى كه عذاب الهى فرا رسد،) مجرمان از گناهانشان سؤال نمى شوند. (78),بد است به چه‌کنم چه‌کنم گرفتار می‌شوید و وقتی متوجه می‌شوید که دیگر پشیمانی سودی ندارد.,به‌هیچ‌وجه انجام آن به صلاح شما نیست در چاهی می‌افتید که خلاصی از آن بسیار مشکل است.
397.html,1,و كسانى كه ايمان آورده و كارهاى شايسته انجام دادند، گناهان آنان را مى پوشانيم (و مى بخشيم) و آنان را به بهترين اعمالى كه انجام مى دادند پاداش مى دهيم. (7),خوب است با توکل به‌خدا به همه‌ی اهدافتان خواهید رسید ان‌شاءالله,خوب است منفعت خوبی خواهید برد و جبران ضررهای گذشته نیز می‌شود.
399.html,0,اما جواب قوم او ( ابراهيم) جز اين نبود كه گفتند: «او را بكشيد يا بسوزانيد!» ولى خداوند او را از آتش رهايى بخشيد; در اين ماجرا نشانه هايى است براى كسانى كه ايمان مى آورند. (24),میانه است سختی و مشکلات زیاد دارد اگر صبر و توانش را دارید انجام دهید و الا ترک شود.,سختی و مشقت دارد در صورت توان انجام و الا ترک شود.
401.html,-1,و «قارون » و «فرعون » و «هامان » را نيز هلاك كرديم; موسى با دلايل روشن به سراغشان آمد، اما آنان در زمين برترى جويى كردند، ولى نتوانستند بر خدا پيشى گيرند! (39),بد است اگر چه ظاهر خوش خط و خالی دارد ولی اصلا مورد مناسبی نیست .,فریب ظاهر خوش خط و خال را نخورید که به‌شدت پشیمان خواهید شد.
403.html,-1,آنان با شتاب از تو عذاب را مى طلبند; و اگر موعد مقررى تعيين نشده بود، عذاب (الهى) به سراغ آنان مى آمد; و سرانجام اين عذاب بطور ناگهانى بر آنها نازل مى شود در حالى كه نمى دانند (و غافلند). (53),بد است خطر جانی و آبرویی دارد آن هم جایی و وقتی که حتی فکرش را هم نمی‌کنید حتما ترک شود.,سری که درد نمی کند دستمال نمی‌بندند حتما ترک کن که در این کار هیچ خیری برای تو قرار ندارد.
405.html,-1,اين وعده اى است كه خدا كرده; و خداوند هرگز از وعده اش تخلف نمى كند; ولى بيشتر مردم نمى دانند! (6),بد است از این کار صرف نظر کنید خداوند به موقع راه بهتری را پیش روی شما خواهد گذاشت.,بد است تعجیل برای ضرر- کار عاقلانه‌ای نیست صبر کنید مورد بهتری در راه است.
407.html,1,و از آيات او اين است كه آسمان و زمين به فرمان او برپاست; سپس هنگامى كه شما را (در قيامت) از زمين فراخواند، ناگهان همه خارج مى شويد (و در صحنه محشر حضور مى يابيد)! (25),خوب است البته با تحقیق کافی و مشورت با افراد خبره.,با مشورت با افراد خبره و تحقیق بیشتر اقدام کنید تا بعدا متضرر نشوید.
409.html,-1,بگو: «در زمين سير كنيد و بنگريد عاقبت كسانى كه قبل از شما بودند چگونه بود؟ بيشتر آنها مشرك بودند! (42),بد است در صورت انجام به‌شدت پشیمان خواهید شد ترک شود.,بعد از کلی زحمت و مشقت در آخر هم چیزی دست شما را نمی‌گیرد به ظاهرش نگاه نکن که بعدا پشیمان خواهی شد.
41.html,-1,و هنگامى كه طالوت (به فرماندهى لشكر بنى اسرائيل منصوب شد، و) سپاهيان را با خود بيرون برد، به آنها گفت: «خداوند، شما را به وسيله يك نهر آب، آزمايش مى كند; آنها (كه به هنگام تشنگى،) از آن بنوشند، از من نيستند; و آنها كه جز يك پيمانه با دست خود، بيشتر از آن نخورند، از من هستند» جز عده كمى، همگى از آن آب نوشيدند. سپس هنگامى كه او، و افرادى كه با او ايمان آورده بودند، (و از بوته آزمايش، سالم به در آمدند،) از آن نهر گذشتند، (از كمى نفرات خود، ناراحت شدند; و عده اى) گفتند: «امروز، ما توانايى مقابله با (×جالوت×) و سپاهيان او را نداريم.» اما آنها كه مى دانستند خدا را ملاقات خواهند كرد (و به روز رستاخيز، ايمان داشتند) گفتند: «چه بسيار گروه هاى كوچكى كه به فرمان خدا، بر گروه هاى عظيمى پيروز شدند!» و خداوند، با صابران و استقامت كنندگان) است. (249),بد است وسط کار به مشکل می‌خورید و راه پس و پیش ندارید.,به تعهدات عمل نمی‌شود و ضرر می‌کنید ترک شود.
411.html,2,الم (1),بسیار خوب است خیر دنیوی و اخروی دارد با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,بسیار پر سود و منفعت است با توکل به‌خدا انجام دهید.
413.html,-1,آيا نديديد خداوند آنچه را در آسمانها و زمين است مسخر شما كرده، و نعمتهاى آشكار و پنهان خود را به طور فراوان بر شما ارزانى داشته است؟! ولى بعضى از مردم بدون هيچ دانش و هدايت و كتاب روشنگرى درباره خدا مجادله مى كنند! (20),بد است حرف و حدیث زیاد دارد و به مشکلات عدیده ای بر خواهید خورد ترک شود.,سری که درد نمی کند دستمال نمی‌بندند مشکلات زیادی در چنین کاری پیش می‌آید و به بن بست می‌رسید ترک شود.
415.html,2,الم (1),بسیار خوب است از مشکلات نترسید و با توکل به‌خدا انجام دهید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,آن قدر سود خواهید کرد که مشکلات را از ‌یاد ببرید با توکل به‌خدا انجام دهید.
417.html,-1,به آنان از عذاب نزديك (عذاب اين دنيا) پيش از عذاب بزرگ (آخرت) مى چشانيم، شايد بازگردند! (21),بسیار بد است استغفار کنید و به‌هیچ‌وجه انجام ندهید که عذاب دنیوی و اخروی دارد.,اصلا انجام ندهید که بعدا به‌شدت پشیمان خواهید شد.
419.html,-1,(به خاطر آور) هنگامى را كه از پيامبران پيمان گرفتيم، و (همچنين) از تو و از نوح و ابراهيم و موسى و عيسى بن مريم، و ما از همه آنان پيمان محكمى گرفتيم (كه در اداى مسؤوليت تبليغ و رسالت كوتاهى نكنند)! (7),بد است مورد پرس و جو و مواخذه قرار می گیرید حتما ترک شود.,آن قدر به مشکلات برخواهید خورد که از کرده‌ی خود پشیمان می‌شوید ترک شود.
421.html,2,در ميان مؤمنان مردانى هستند كه بر سر عهدى كه با خدا بستند صادقانه ايستاده اند; بعضى پيمان خود را به آخر بردند (و در راه او شربت شهادت نوشيدند)، و بعضى ديگر در انتظارند; و هرگز تغيير و تبديلى در عهد و پيمان خود ندادند. (23),بسیار خوب است به‌همین روشی که در نظر دارید عمل کنید ان‌شاءالله به همه اهدافتان خواهید رسید.,طبق همان شرایطی که در نظر دارید انجام دهید سود خوبی خواهید برد و به اعتبارتان نیز اضافه خواهد شد.
423.html,-1,هيچ مرد و زن با ايمانى حق ندارد هنگامى كه خدا و پيامبرش امرى را لازم بدانند، اختيارى (در برابر فرمان خدا) داشته باشد; و هر كس نافرمانى خدا و رسولش را كند، به گمراهى آشكارى گرفتار شده است! (36),بد است به‌حرام خواهید افتاد و مشکلات زیادی سر راهتان قرار می‌گیرد ترک کنید.,اصلا به صلاح شما نیس اگر این معامله را انجام دهید به مشکلات زیادی بر می‌خورید و به حرام خواهید افتاد ترک شود.
425.html,0,(موعد) هر يك از همسرانت را بخواهى مى توانى به تاخير اندازى، و هر كدام را بخواهى نزد خود جاى دهى; و هرگاه بعضى از آنان را كه بركنار ساخته اى بخواهى نزد خود جاى دهى، گناهى بر تو نيست; اين حكم الهى براى روشنى چشم آنان، و اينكه غمگين نباشند و به آنچه به آنان مى دهى همگى راضى شوند نزديكتر است; و خدا آنچه را در قلوب شماست مى داند، و خداوند دانا و بردبار است (از مصالح بندگان خود با خبر است، و در كيفر آنها عجله نمى كند)! (51),میانه است مشکلات و درد سرهایی دیده می‌شود اگر توان و صبرش را دارید انجام دهید و الا ترک شود.,میانه است در صورت اصرار به انجام بهتر است همه‌ی جوانب قضیه ‌بررسی شود و الا ترکش بهتر است.
427.html,-1,مردم از تو درباره (زمان قيام) قيامت سؤال مى كنند، بگو: «علم آن تنها نزد خداست!» و چه مى دانى شايد قيامت نزديك باشد! (63),بد است دچار آبروریزی خواهید شد ولی دیگر پشیمانی سودی ندارد ترک کنید.,خطر آبرویی و مالی دارد اعتبار شما نیز زیر سوال می‌رود ترک شود.
429.html,-1,آيا او بر خدا دروغ بسته يا به نوعى جنون گرفتار است؟!» (چنين نيست)، بلكه كسانى كه به آخرت ايمان نمى آورند، در عذاب و گمراهى دورى هستند (و نشانه گمراهى آنها همين انكار شديد است). (8),بد است مشکلات زیادی سر راهتان قرار می‌گیرد و در آخر هم به آنچه می خواستید نمی‌رسید ترک شود که پشیمانی دارد.,مشکلات بسیاری بوجود می‌آید و از کرده‌ی خود پشیمان می‌شوید ترک کنید.
43.html,-1,خداوند، ولى و سرپرست كسانى است كه ايمان آورده اند; آنها را از ظلمتها،به سوى نور بيرون مى برد. (اما) كسانى كه كافر شدند، اولياى آنها طاغوتها هستند; كه آنها را از نور، به سوى ظلمتها بيرون مى برند; آنها اهل آتشند و هميشه در آن خواهند ماند. (257),بد است دچار ندامت و پشیمانی خواهید شد ولی وقتی که فایده‌ای ندارد ترک شود.,اگر چه اولش به ظاهر خوب است ولی ضرر حیثیتی و مالی زیادی به شما خواهد شد.
431.html,0,هيچ شفاعتى نزد او، جز براى كسانى كه اذن داده، سودى ندارد! (در آن روز همه در اضطرابند) تا زمانى كه اضطراب از دلهاى آنان زايل گردد (و فرمان از ناحيه او صادر شود; در اين هنگام مجرمان به شفيعان) مى گويند: «پروردگارتان چه دستورى داده؟» مى گويند: «حق را (بيان كرد و اجازه شفاعت درباره مستحقان داد); و اوست بلندمقام و بزرگ مرتبه!» (23),میانه است احتیاج به اجازه و مشورت با افراد خبره دارد در صورت صلاحدید و کسب اجازه انجام دهید والا ترک شود.,در صورت مشورت با افراد خبره خوب و الا ترک شود.
433.html,-1,(به خاطر بياور) روزى را كه خداوند همه آنان را بر مى انگيزد، سپس به فرشتگان مى گويد: س خ للّهآيا اينها شما را پرستش مى كردند؟!» (40),بد است در صورت انجام پشیمان خواهید شد و به مشکلاتی بر می‌خورید که فکرش را نمی کردید. ترک شود.,پس از زحمت زیاد در آخر هم به آن چیزی که در نظر دارید نمی‌رسید ترک شود.
435.html,-1,اگر تو را تكذيب كنند (غم مخور، موضوع تازه اى نيست) پيامبران پيش از تو نيز تكذيب شدند; و همه كارها بسوى خدا بازمى گردد. (4),بد است شما را تکذیب می‌کنند و مورد اذیت و آزار قرار می‌گیرید. ترک شود.,به مشکلات زیادی بر می‌خورید و شما را تکذیب می‌کنند ترک شود.
437.html,-1,و نابينا و بينا هرگز برابر نيستند، (19),بد است آنچه در ذهن شما می‌گذرد با واقعیت تفاوت زیادی دارد ترک شود که پشیمانی شدید دارد.,در ظاهر خیلی زیبا و خوش خط و خال به نظر می‌رسد ولی در باطن ضرر زیادی هم بمال و هم به اعتبارتان خواهد زد ترک شود.
439.html,-1,اوست كه شما را جانشينانى در زمين قرار داد; هر كس كافر شود، كفر او به زيان خودش خواهد بود، و كافران را كفرشان جز خشم و غضب در نزد پروردگار چيزى نمى افزايد، و (نيز) كفرشان جز زيان و خسران چيزى بر آنها اضافه نمى كند! (39),بد است اقدامی انجام می‌دهید که بعدا به‌شدت پشیمان خواهید شد. حتما ترک شود.,به‌هیچ‌وجه انجام ندهید که پشیمانی دارد و دچار ضرر مالی و اعتباری خواهید شد.
441.html,-1,و براى آنها، اصحاب قريه (انطاكيه) را مثال بزن هنگامى كه فرستادگان خدا به سوى آنان آمدند; (13),بد است زحمت زیادی می کشید و در آخر هم به نتیجه دلخواه نمی رسید. ترک شود.,زحمت زیادی می کشید مشکلات زیادی هم سر راهتان قرار می گیرد و در آخر هم متضرر ‌می‌شوید.
443.html,-1,نشانه اى (ديگر از عظمت پروردگار) براى آنان است كه ما فرزندانشان را در كشتيهايى پر (از وسايل و بارها) حمل كرديم. (41),بد است زحمت فراوان و در آخر هم جز پشیمانی حاصلی ندارد.,ترک نمایید که جز پشیمانی حاصلی ندارد.
445.html,-1,آيا نديدند كه از آنچه با قدرت خود به عمل آورده ايم چهارپايانى براى آنان آفريديم كه آنان مالك آن هستند؟! (71),بد است اقدام نکنید که پشیمانی دارد.,سودی نخواهید کرد و از طرف دیگر باعث اختلاف و درگیری هم می‌شود ترک شود که پشیمانی دارد.
447.html,-1,شما را چه شده كه از هم يارى نمى طلبيد؟! (25),بد است مورد سوال و باز خواست قرار می‌گیرید ترک شود.,بد است دچار ضرر و زیان ‌می‌شوید و حتی ممکن است سرمایه‌ی خود را از دست بدهید ترک شود.
449.html,2,و فرزندانش را همان بازماندگان (روى زمين) قرار داديم، (77),بسیار خوب است با توکل به‌خدا اقدام کنید ان‌شاءالله به‌همه‌ی اهدافتان خواهید رسید.,بسیار خوب است با توکل به‌خدا ان‌شاءالله سود خوبی در انتظار شماست مستمندان را فراموش نکنید.
45.html,1,و (كار) كسانى كه اموال خود را براى خشنودى خدا، و تثبيت (ملكات انسانى در) روح خود، انفاق مى كنند، همچون باغى است كه در نقطه بلندى باشد، و بارانهاى درشت به آن برسد، (و از هواى آزاد و نور آفتاب، به حد كافى بهره گيرد،) و ميوه خود را دو چندان دهد (كه هميشه شاداب و با طراوت است.) و خداوند به آنچه انجام مى دهيد، بيناست. (265),خوب است با حفظ موازین شرعی اقدام کنید ان‌شاءالله به همه‌ی اهدافتان خواهید رسید.,خوب است صدقه دهید و با توکل به‌خداانجام دهید ان‌شاءالله سود خوبی خواهید برد.
451.html,-1,مگر بندگان مخلص خدا! (128),بد است مورد تکذیب قرار می‌گیرید و به مشکل بر می‌خورید ترک شود.,مشکلاتی در بین است که باعث می‌شود به اعتبار شما لطمه وارد شود و ضرر می‌کنید ترک شود.
453.html,1,ص، سوگند به قرآنى كه داراى ذكر است (كه اين كتاب، معجزه الهى است). (1),خوب است از مشکلات نترسید و با توکل به‌خدا اقدام کنید.,سود خوبی دارد و به زحمتش می‌ارزد با توکل به‌خدا انجام بده.
455.html,-1,ما آسمان و زمين و آنچه را ميان آنهاست بيهوده نيافريديم; اين گمان كافران است; واى بر كافران از آتش (دوزخ)! (27),بد است خطر مالی و آبرویی دارد حتما ترک شود.,خسارت هنگفتی خواهید کرد و اعتبار شما نیز بر اثر آن زیر سوال می‌رود ترک شود.
